0.42360	0.85011
0.56769	0.71089
0.98582	0.42789
0.99231	0.26790
1.20252	0.20481
1.94283	0.29929
2.38979	0.37277
2.88078	0.42730
3.56116	0.50585
4.33594	0.60353
5.14572	0.69176
5.80052	0.76077
0.43136	0.87230
1.07919	0.68624
1.73844	0.43208
2.42177	0.43776
2.72376	0.45877
4.37728	0.65112
5.24800	0.72992
5.98946	0.79588
0.46481	0.90086
0.67413	0.85995
0.86589	0.82536
1.72125	0.64276
2.48604	0.55983
3.08304	0.56064
3.59230	0.59143
4.38580	0.65430
5.29107	0.73473
5.97222	0.79427
0.56780	0.92159
1.02054	0.85250
1.42111	0.78968
2.18539	0.71943
2.76707	0.67111
3.19097	0.67327
3.69247	0.68187
4.23679	0.70162
4.98754	0.75175
5.49641	0.79204
5.93607	0.83225
